Title,Publication Year,Cover URL
Mighty Thor: At the Gates of Valhalla (2018) #1,2018,http://i.annihil.us/u/prod/marvel/i/mg/c/50/5af36a7ec325e.jpg
Incredible Hulk (2017) #716,2018,http://i.annihil.us/u/prod/marvel/i/mg/e/c0/5aea2f5ba5a72.jpg
Marvel Masterworks: Marvel Team-Up Vol. 3 (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/e/a0/5aeb708ab4db0.jpg
Free Comic Book Day (Avengers) (2018) #1,2018,http://i.annihil.us/u/prod/marvel/i/mg/f/40/604007a5321f0.jpg
Avengers (2018) #1,2018,http://i.annihil.us/u/prod/marvel/i/mg/1/20/5af0aacb41ae3.jpg
Mighty Thor (2015) #706,2018,http://i.annihil.us/u/prod/marvel/i/mg/6/10/5ad7b086c5043.jpg
True Believers: Infinity Incoming! (2018) #1,2018,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/5ace6b3312e6d.jpg
Thor by Walter Simonson Vol. 3 (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/2/60/5acfccec7b843.jpg
Avengers Epic Collection: The Avengers/Defenders War (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/c/60/5ac54dcb8c591.jpg
Mighty Thor Vol. 3: The Asgard/Shi'ar War (Trade Paperback),2018,http://i.annihil.us/u/prod/marvel/i/mg/7/00/5ab57f7697b51.jpg
